main_camera,secondary_camera,beta,inlier_ratio,num_inliers
0,6,3745.9000,0.8252,3518
0,1,-2335.9100,0.3369,3868
0,3,-2018.2200,0.0607,5241
0,2,-2253.4600,0.7177,6907
1,3,-4664.1200,0.2457,700
1,2,43.2500,0.5586,2089
0,4,-1776.0600,0.8393,7493
0,5,-3617.1100,0.8515,10903
1,6,3028.4700,0.6704,2321
2,1,-42.9300,0.5505,2089
1,4,279.0600,0.4287,2720
2,6,3003.3900,0.7921,2193
2,3,-4803.0000,0.1599,1088
1,5,-637.8100,0.4745,3760
3,1,4158.0000,0.2287,905
2,4,239.4100,0.8290,4905
3,6,4547.0000,0.1657,1032
3,2,5060.5200,0.1984,862
4,1,-279.7200,0.4262,2736
3,4,124.9900,0.1464,4058
2,5,-682.6100,0.8517,6858
4,6,2760.9400,0.9405,2403
4,2,-238.5600,0.8037,4941
4,3,-155.8600,0.1398,4091
3,5,4147.4100,0.2338,1711
5,1,1067.2600,0.4777,2261
1,0,1162.9200,0.3739,7703
5,6,-3840.4600,0.3012,883
5,3,-4229.2600,0.1674,1308
4,5,-920.6400,0.9981,9976
5,2,1138.5700,0.8069,4142
2,0,1128.1400,0.7385,13725
3,0,4849.7400,0.0648,6570
4,0,888.6400,0.8348,14960
5,4,1536.8900,0.9983,5979
6,1,4798.1700,0.9280,125
6,3,-4821.6500,0.1896,865
6,2,-2502.5000,0.8334,2635
6,4,-2303.1200,0.9909,2870
5,0,3017.9700,0.8679,13055
6,5,-3071.1200,0.9635,3730
6,0,-1562.2700,0.8255,8383
